COD. COLEGIO, REGIONAL, PROVINCIA, DISTRITO, CORREGIMIENTO, NOMBRE COLEGIO,ÁREA,PROGRAMAS, TIPO,total_passed,total_failed,total_deserted,pass_percent
7095,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,BELLA VISTA,COLEGIO NUESTRA SEÑORA DE LA PAZ,URBANA,PRIMARIA UNIGRADO,PARTICULAR,92,0,0,1
7096,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PARQUE LEFEVRE,PIERRE FAURE SCHOOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,54,0,14,0.794117647
7099,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PEDREGAL,COL. BILINGÜE SANTÍSIMA TRINIDAD,URBANA,PRIMARIA UNIGRADO,PARTICULAR,48,2,0,0.96
7103,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PEDREGAL,CTRO. EDUCATIVO PALABRA VIVA,URBANA,PRIMARIA UNIGRADO,PARTICULAR,92,0,0,1
7104,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,ACADEMIA BILINGÜE CASTILLO DE VOCALES,URBANA,PRIMARIA UNIGRADO,PARTICULAR,72,0,1,0.98630137
7106,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,COLEGIO BILINGÜE DE LAS AMÉRICAS,URBANA,PRIMARIA UNIGRADO,PARTICULAR,75,0,0,1
7111,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO BÁSICO MONTE DE SIÓN,URBANA,PRIMARIA UNIGRADO,PARTICULAR,37,0,4,0.902439024
7112,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO BILINGÜE ESTRELLA DE DAVID,URBANA,PRIMARIA UNIGRADO,PARTICULAR,162,0,0,1
7114,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO CASTILLO DE ORO,URBANA,PRIMARIA UNIGRADO,PARTICULAR,71,0,1,0.986111111
7116,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO DANIEL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,15,1,0,0.9375
7118,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CENTRO EDUCATIVO JHOSEMMEL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,159,0,0,1
7119,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO MARÍA AUXILIADORA DE BELÉN,URBANA,PRIMARIA UNIGRADO,PARTICULAR,125,0,0,1
7120,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. EDUCATIVO PUNTA DEL ESTE,URBANA,PRIMARIA UNIGRADO,PARTICULAR,154,0,0,1
7124,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,CTRO. PREESCOLAR HAPPY SCHOOL FOR KIDS,URBANA,PRIMARIA UNIGRADO,PARTICULAR,36,0,1,0.972972973
7175,PANAMÁ OESTE,PANAMÁ,ARRAIJÁN,CERRO SILVESTRE,CENTRO EDUCATIVO BILINGÜE APRENDO MAS,URBANA,PRIMARIA UNIGRADO,PARTICULAR,111,0,0,1
7263,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,SAN FRANCISCO,COLEGIO INTERNACIONAL YORK,URBANA,PRIMARIA UNIGRADO,PARTICULAR,108,0,0,1
7266,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,BETANIA,COLEGIO BILINGÜE LOS ÁNGELES,URBANA,PRIMARIA UNIGRADO,PARTICULAR,134,0,0,1
7269,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,CURUNDÚ,CURUNDÚ CHRISTIAN BILINGUAL SCHOOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,14,0,0,1
7297,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PACORA,CTRO. DE FORMACIÓN INTEGRAL BILINGÜE PADRE FERNANDO GUARDIA JAÉN P.J.,URBANA,PRIMARIA UNIGRADO,OFICIAL,636,5,6,0.982998454
15052,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,SANTA ANA,CENTRO EDUCATIVO SANTA ISABEL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,117,0,0,1
15054,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,LAS GARZAS,JOSÉ RAMÓN CRESPO,URBANA,PRIMARIA UNIGRADO,PARTICULAR,63,0,0,1
15553,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PACORA,MUNDO DEL SABER,URBANA,PRIMARIA UNIGRADO,PARTICULAR,82,0,1,0.987951807
15554,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PACORA,ESCUELA WILLIAM H. KILPATRICK (RURAL),URBANA,PRIMARIA UNIGRADO,PARTICULAR,337,3,0,0.991176471
15653,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PEDREGAL,CENTRO EDUCATIVO JEHOVÁ NISSI,URBANA,PRIMARIA UNIGRADO,PARTICULAR,15,0,0,1
15654,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,TOCUMEN,C.E.B.G. BILINGÜE LAS MERCEDES,URBANA,PRIMARIA UNIGRADO,PARTICULAR,10,0,1,0.909090909
15795,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PACORA,CENTRO EDUCATIVO MESA ADVENTIST SCHOOL,URBANA,PRIMARIA UNIGRADO,PARTICULAR,28,0,1,0.965517241
15798,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,PACORA,CENTRO EDUCATIVO EVEREST,URBANA,PRIMARIA UNIGRADO,PARTICULAR,12,0,0,1
15800,PANAMÁ CENTRO,PANAMÁ,PANAMÁ,24 DE DICIEMBRE,COLEGIO PARROQUIAL SANTA MARÍA GORETTI,URBANA,PRIMARIA UNIGRADO,PARTICULAR,88,0,0,1
3829,PANAMÁ NORTE,PANAMÁ,PANAMÁ,LAS CUMBRES,ESCUELA BILINGÜE SAN PABLO Y VILLANUEVA,RURAL,PRIMARIA UNIGRADO,OFICIAL,879,33,0,0.963815789
3835,PANAMÁ NORTE,PANAMÁ,PANAMÁ,ERNESTO CÓRDOVA CAMPOS,SANTA RITA,URBANA,PRIMARIA UNIGRADO,OFICIAL,333,5,11,0.954154728
3855,PANAMÁ NORTE,PANAMÁ,PANAMÁ,ALCALDE DÍAZ,MELCHOR LASSO DE LA VEGA,URBANA,PRIMARIA UNIGRADO,OFICIAL,991,23,12,0.96588694
3978,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,ESC. BILINGÜE REPUBLICA DE ITALIA,URBANA,PRIMARIA UNIGRADO,OFICIAL,561,17,4,0.963917526
3979,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,ESC. NUEVE DE ENERO,URBANA,PRIMARIA UNIGRADO,OFICIAL,475,6,1,0.985477178
3980,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,ESC. AMELIA DENIS DE ICAZA,URBANA,PRIMARIA MULTIGRADO,OFICIAL,323,1,1,0.993846154
3981,SAN MIGUELITO,PANAMÁ,SAN MIGUELITO,AMELIA DENIS DE ICAZA,C.E.B.G. LOUIS MARTINZ,URBANA,PRIMARIA UNIGRADO,OFICIAL,365,5,2,0.981182796
