year,CODIGO,NOMBRE,REGION,APROBT,,
2014,3948,LICEO ROBERTO BRENES MESEN,SAN JOSE CENTRAL,635,,
2014,4157,C.T.P. SAN SEBASTIAN,SAN JOSE CENTRAL,596,,
2014,3986,LICEO RICARDO FERNANDEZ GUARDIA,SAN JOSE CENTRAL,459,,
2014,,NUESTRA SEÑORA DEL PILAR,SAN JOSE OESTE,368,,
2014,3952,LICEO DE ESCAZU,SAN JOSE OESTE,1134,,
2014,5072,COLEGIO DE GRAVILIAS,DESAMPARADOS,381,,
2014,3983,LICEO DE CALLE FALLAS,DESAMPARADOS,750,,
2014,3984,COLEGIO NUESTRA SEÑORA,DESAMPARADOS,506,,
2014,3982,LICEO MONSEÑOR RUBEN ODIO HERRERA,DESAMPARADOS,1151,,
2014,4159,C.T.P. MONSEÑOR SANABRIA,DESAMPARADOS,1115,,
2014,3985,LICEO SAN MIGUEL,DESAMPARADOS,684,,
2014,3988,LICEO SAN ANTONIO,DESAMPARADOS,1130,,
2014,4160,C.T.P. JOSE FIGUERES FERRER,DESAMPARADOS,676,,
2014,3987,LICEO ROBERTO GAMBOA VALVERDE,DESAMPARADOS,88,,
2014,3997,LICEO DE PURISCAL,PURISCAL,1006,,
2014,4163,C.T.P. DE PURISCAL,PURISCAL,1158,,
2014,4165,C.T.P. LA GLORIA,PURISCAL,187,,
2014,4057,LICEO DE TARRAZU,LOS SANTOS,921,,
2014,3989,LICEO DE ASERRI,DESAMPARADOS,705,,
2014,3991,LICEO SAN GABRIEL DE ASERRI,DESAMPARADOS,599,,
2014,3996,LICEO DIURNO CIUDAD COLON,PURISCAL,600,,
2014,3966,COLEGIO MADRE DEL DIVINO PASTOR,SAN JOSE NORTE,624,,
2014,3945,LICEO NAPOLEON QUESADA SALAZAR,SAN JOSE NORTE,774,,
2014,4155,C.T.P. CALLE BLANCOS,SAN JOSE NORTE,682,,
2014,,IRIBO,SAN JOSE CENTRAL,79,,
2014,3955,LICEO SALVADOR UMAÑA CASTRO,SAN JOSE NORTE,511,,
2014,3959,LICEO SANTA ANA,SAN JOSE OESTE,1261,,
2014,3961,LICEO ALAJUELITA,SAN JOSE CENTRAL,998,,
2014,3953,LICEO DE CORONADO,SAN JOSE NORTE,663,,
2014,3954,INSTITUTO DE EDUCACION INTEGRAL,SAN JOSE NORTE,127,,
2014,4162,C.T.P. DE ACOSTA,DESAMPARADOS,749,,
2014,3946,LICEO MAURO FERNANDEZ ACUÑA,SAN JOSE NORTE,525,,
2014,,COLEGIO LINCOLN SCHOOL,SAN JOSE NORTE,530,,
2014,,COLEGIO NUESTRA SEÑORA DE SION,SAN JOSE NORTE,339,,
2014,,COLEGIO SAINT FRANCIS,SAN JOSE NORTE,391,,
2014,3958,LICEO LABORATORIO EMMA GAMBOA UCR,SAN JOSE NORTE,441,,
2014,3965,COLEGIO MARIA INMACULADA,SAN JOSE NORTE,395,,
2014,3949,LICEO DE MORAVIA,SAN JOSE NORTE,848,,
2014,,COLEGIO CALASANZ,SAN JOSE NORTE,468,,
2014,,COLEGIO METODISTA,SAN JOSE NORTE,454,,
2014,3944,LICEO JOSE JOAQUIN VARGAS CALVO,SAN JOSE NORTE,773,,
2014,3962,COLEGIO CEDROS,SAN JOSE NORTE,485,,
2014,3939,LICEO ANASTASIO ALFARO,SAN JOSE NORTE,619,,
2014,4164,C.T.P. DE TURRUBARES,PURISCAL,171,,
2014,4186,C.T.P. JOSE DANIEL FLORES,LOS SANTOS,225,,
2014,3960,LICEO DE CURRIDABAT,SAN JOSE CENTRAL,532,,
2014,3951,LICEO FRANCO COSTARRICENSE,SAN JOSE CENTRAL,270,,
2014,4009,LICEO UNESCO,PEREZ ZELEDON,1085,,
2014,4169,C.T.P. GENERAL VIEJO,PEREZ ZELEDON,598,,
2014,4166,C.T.P. SAN ISIDRO,PEREZ ZELEDON,756,,
2014,4167,C.T.P. PLATANARES,PEREZ ZELEDON,479,,
2014,4168,C.T.P. PEJIBAYE,PEREZ ZELEDON,385,,
2014,4188,C.T.P. SAN PABLO,LOS SANTOS,671,,
2014,4844,C.T.P. NOCTURNO CARLOS FALLAS SIBAJ,ALAJUELA,671,,
2014,,PROYECTO EDUCATIVO SURI,SAN JOSE OESTE,60,,
2014,,COLEGIO MARISTA,ALAJUELA,390,,
2014,4023,COLEGIO EL CARMEN,ALAJUELA,555,,
2014,4028,COLEGIO REDENTORISTA SAN ALFONSO,ALAJUELA,903,,
2014,4171,C.T.P. JESUS OCAÑA ROJAS,ALAJUELA,918,,
2014,4022,COLEGIO GREGORIO JOSE RAMIREZ CASTR,ALAJUELA,1015,,
2014,4018,INSTITUTO DE ALAJUELA,ALAJUELA,1315,,
2014,4024,LICEO SAN JOSE,ALAJUELA,615,,
2014,,INSTITUTO CENTROAMERICANO ADVENTIST,ALAJUELA,253,,
2014,4025,LICEO OTILIO ULATE BLANCO,ALAJUELA,551,,
2014,,SAINT PAUL COLLEGE,ALAJUELA,300,,
2014,4027,LICEO SAN RAFAEL,ALAJUELA,838,,
2014,4029,LICEO DE TURRUCARES,ALAJUELA,445,,
2014,4037,LICEO PATRIARCA SAN JOSÉ,OCCIDENTE,462,,
2014,4033,INSTITUTO JULIO ACOSTA GARCÍA,OCCIDENTE,1253,,
2014,4174,C.T.P. PIEDADES SUR,OCCIDENTE,664,,
2014,4026,COLEGIO MARIA INMACULADA,ALAJUELA,336,,
2014,4020,LICEO LEON CORTES CASTRO,ALAJUELA,788,,
2014,4173,C.T.P. SAN MATEO,ALAJUELA,292,,
2014,4019,LICEO DE ATENAS MARTHA MIRAMBELL UM,ALAJUELA,1003,,
2014,4035,COLEGIO DE NARANJO,OCCIDENTE,960,,
2014,4034,EXPERIMENTAL BILINGÜE DE PALMARES,OCCIDENTE,1431,,
2014,4021,LICEO DE POAS,ALAJUELA,914,,
2014,4172,C.T.P. RICARDO CASTRO BEER,ALAJUELA,997,,
2014,4046,COLEGIO MARIA INMACULADA,SAN CARLOS,440,,
2014,4183,C.T.P. SAN CARLOS,SAN CARLOS,591,,
2014,4045,LICEO DE SAN CARLOS,SAN CARLOS,805,,
2014,,COLEGIO AGROPECUARIO DE SAN CARLOS,SAN CARLOS,279,,
2014,4176,C.T.P. NATANIEL ARIAS MURILLO,SAN CARLOS,1237,,
2014,4178,C.T.P. DE VENECIA,SAN CARLOS,690,,
2014,4180,C.T.P. DE PITAL,SAN CARLOS,647,,
2014,4179,C.T.P. LA FORTUNA,SAN CARLOS,794,,
2014,4182,C.T.P. SANTA ROSA,SAN CARLOS,618,,
2014,4040,LICEO DE ALFARO RUIZ,OCCIDENTE,535,,
2014,4175,C.T.P. FRANCISCO JOSE ORLICH BOLMAR,OCCIDENTE,785,,
2014,4232,C.T.P. UPALA,ZONA NORTE-NORTE,657,,
2014,4177,C.T.P. LOS CHILES,SAN CARLOS,392,,
2014,4181,C.T.P. DE GUATUSO,ZONA NORTE-NORTE,492,,
2014,4055,COLEGIO SAGRADO CORAZON DE JESUS,CARTAGO,745,,
2014,4056,UNIDAD PEDAGOGICA RAFAEL HERNANDEZ,CARTAGO,230,,
2014,4050,LICEO VICENTE LACHNER SANDOVAL,CARTAGO,786,,
2014,4051,COLEGIO SAN LUIS GONZAGA,CARTAGO,1862,,
2014,4054,COLEGIO SERAFICO SAN FRANCISCO,CARTAGO,660,,
2014,4184,C.T.P. COVAO DIURNO,CARTAGO,528,,
2014,4161,C.T.P. SAN JUAN SUR,DESAMPARADOS,662,,
2014,4052,LICEO DE PARAISO,CARTAGO,1071,,
2014,5082,C.T.P. MARIO QUIROS SASSO,CARTAGO,1022,,
2014,4070,LICEO HERNAN VARGAS RAMIREZ,TURRIALBA,456,,
2014,4069,COLEGIO DR. CLODOMIRO PICADO TWIGHT,TURRIALBA,1168,,
2014,4189,C.T.P. LA SUIZA,TURRIALBA,751,,
2014,4185,C.T.P. DE PACAYAS,CARTAGO,614,,
2014,4067,LICEO BRAULIO CARRILLO COLINA,CARTAGO,568,,
2014,4053,COLEGIO ELIAS LEIVA QUIROS,CARTAGO,947,,
2014,,COLEGIO MARÍA AUXILIADORA,HEREDIA,204,,
2014,4085,LICEO ING. MANUEL BENAVIDES RODRIGU,HEREDIA,886,,
2014,4078,LICEO DE HEREDIA,HEREDIA,1057,,
2014,4191,C.T.P. DE HEREDIA,HEREDIA,756,,
2014,4089,COLEGIO CLARETIANO,HEREDIA,909,,
2014,,COLEGIO BILINGÜE SANTA CECILIA,HEREDIA,200,,
2014,4077,LICEO ING. SAMUEL SÁENZ FLORES,HEREDIA,1093,,
2014,4192,C.T.P. DE ULLOA,HEREDIA,1033,,
2014,4083,CONSERVATORIO CASTELLA,HEREDIA,370,,
2014,5077,COLEGIO RODRIGO HERNÁNDEZ VARGAS,HEREDIA,668,,
2014,4081,COLEGIO SANTA MARÍA DE GUADALUPE,HEREDIA,1331,,
2014,4084,LICEO DE SANTA BÁRBARA,HEREDIA,730,,
2014,4088,UNIDAD PEDAGOGICA LICEO EL ROBLE,HEREDIA,412,,
2014,4080,LICEO ING. CARLOS PASCUA ZUÑIGA,HEREDIA,942,,
2014,4086,LICEO DE SAN ISIDRO,HEREDIA,810,,
2014,4087,EXPERIMENTAL BILINGÜE DE BELÉN,HEREDIA,912,,
2014,4079,LICEO REGIONAL DE FLORES,HEREDIA,1106,,
2014,4082,LICEO MARIO VINDAS SALAZAR,HEREDIA,682,,
2014,4193,C.T.P. PUERTO VIEJO,SARAPIQUI,742,,
2014,,SANTA ANA,LIBERIA,395,,
2014,4194,C.T.P. LIBERIA,LIBERIA,800,,
2014,4102,INSTITUTO DE GUANACASTE,LIBERIA,608,,
2014,4103,LICEO LABORATORIO DE LIBERIA,LIBERIA,402,,
2014,4198,C.T.P. DE NICOYA,NICOYA,615,,
2014,4105,LICEO DE NICOYA,NICOYA,861,,
2014,4199,C.T.P. LA MANSION,NICOYA,626,,
2014,4200,C.T.P. DE CORRALILLO,NICOYA,281,,
2014,4108,"LICEO SANTA CRUZ, CLIMACO A. PÉREZ",SANTA CRUZ,1276,,
2014,4203,C.T.P. DE SANTA CRUZ,SANTA CRUZ,234,,
2014,4202,C.T.P. 27 DE ABRIL,SANTA CRUZ,445,,
2014,4205,C.T.P. DE CARTAGENA,SANTA CRUZ,391,,
2014,4204,C.T.P. SANTA BÁRBARA,SANTA CRUZ,203,,
2014,4101,COLEGIO DE BAGACES,LIBERIA,440,,
2014,4195,C.T.P. FORTUNA DE BAGACES,LIBERIA,330,,
2014,4201,C.T.P. CARRILLO,SANTA CRUZ,537,,
2014,4206,C.T.P. SARDINAL,SANTA CRUZ,523,,
2014,4111,LICEO MIGUEL ARAYA VENEGAS,CAÑAS,657,,
2014,4110,LICEO MAURILIO ALVARADO VARGAS,CAÑAS,781,,
2014,4196,C.T.P. NANDAYURE,NICOYA,359,,
2014,4100,EXPERIMENTAL BILINGÜE DE LA CRUZ,LIBERIA,286,,
2014,4197,C.T.P. HOJANCHA,NICOYA,388,,
2014,,COLEGIO MONSERRAT,PUNTARENAS,45,,
2014,4116,LICEO DIURNO JOSE MARTI,PUNTARENAS,778,,
2014,4119,LICEO CHACARITA,PUNTARENAS,651,,
2014,4209,C.T.P. DE PUNTARENAS,PUNTARENAS,742,,
2014,4208,C.T.P. DE JICARAL,PENINSULAR,562,,
2014,4210,C.T.P. DE PAQUERA,PENINSULAR,392,,
2014,4212,C.T.P. DE SANTA ELENA,PUNTARENAS,328,,
2014,4211,C.T.P. DE COBANO,PENINSULAR,409,,
2014,4117,LICEO DE ESPARZA,PUNTARENAS,978,,
2014,4170,C.T.P. DE BUENOS AIRES,GRANDE DE TERRABA,655,,
2014,4118,LICEO DE MIRAMAR,PUNTARENAS,535,,
2014,,COMPLEJO SAN BENEDICTO,SAN JOSE CENTRAL,127,,
2014,4213,C.T.P. DE OSA,GRANDE DE TERRABA,336,,
2014,5748,C.T.P. DE QUEPOS,AGUIRRE,735,,
2014,4231,C.T.P. DE MATAPALO,AGUIRRE,408,,
2014,4214,C.T.P. CARLOS MANUEL VICENTE CASTRO,COTO,633,,
2014,4220,C.T.P. DE PUERTO JIMENEZ,COTO,245,,
2014,4217,C.T.P. GUAYCARA,COTO,640,,
2014,4215,C.T.P. UMBERTO MELLONI CAMPANINI,COTO,699,,
2014,4216,C.T.P. DE SABALITO,COTO,741,,
2014,4230,C.T.P. DE PARRITA,AGUIRRE,994,,
2014,4125,LICEO CIUDAD NEILY,COTO,830,,
2014,4218,C.T.P. DE CORREDORES,COTO,401,,
2014,,CIENTIFICO DE COSTA RICA DE PEREZ Z,PEREZ ZELEDON,30,,
2014,4221,C.T.P. DE LIMÓN,LIMON,765,,
2014,4224,C.T.P. VALLE ESTRELLA,LIMON,543,,
2014,4134,LICEO NUEVO DE LIMÓN,LIMON,715,,
2014,4133,COLEGIO DE LIMON,LIMON,1063,,
2014,4227,C.T.P. DE POCOCÍ,GUAPILES,1497,,
