year,CODIGO,NOMBRE,REGION,enrolled,passed,pass_rate
2020.0,4024.0,LICEO SAN JOSE,ALAJUELA,1065,1044,0.9802816901408451
2020.0,0.0,INSTITUTO CENTROAMERICANO ADVENTISTA,ALAJUELA,216,216,1.0
2020.0,4025.0,LICEO OTILIO ULATE BLANCO,ALAJUELA,887,874,0.9853438556933484
2020.0,0.0,SAINT PAUL COLLEGE,ALAJUELA,308,308,1.0
2020.0,4027.0,LICEO SAN RAFAEL,ALAJUELA,1431,1350,0.9433962264150944
2020.0,4029.0,LICEO DE TURRUCARES,ALAJUELA,617,608,0.9854132901134521
2020.0,4037.0,LICEO PATRIARCA SAN JOSE,OCCIDENTE,342,341,0.9970760233918129
2020.0,4033.0,INSTITUTO JULIO ACOSTA GARCIA,OCCIDENTE,1093,1037,0.9487648673376029
2020.0,4174.0,C.T.P. PIEDADES SUR,OCCIDENTE,795,793,0.9974842767295597
2020.0,4026.0,COLEGIO MARIA INMACULADA,ALAJUELA,328,328,1.0
2020.0,4020.0,LICEO LEON CORTES CASTRO,ALAJUELA,909,847,0.9317931793179318
2020.0,4173.0,C.T.P. SAN MATEO,ALAJUELA,492,482,0.9796747967479674
2020.0,4019.0,LICEO DE ATENAS MARTHA MIRAMBELL UMAÑA,ALAJUELA,1217,1167,0.9589153656532456
2020.0,4035.0,COLEGIO DE NARANJO,OCCIDENTE,1108,1093,0.9864620938628159
2020.0,4034.0,EXPERIMENTAL BILINGÜE DE PALMARES,OCCIDENTE,1536,1536,1.0
2020.0,4021.0,LICEO DE POAS,ALAJUELA,1144,1144,1.0
2020.0,4172.0,C.T.P. RICARDO CASTRO BEER,ALAJUELA,1345,1306,0.971003717472119
2020.0,4046.0,COLEGIO DIOCESANO PADRE ELADIO SANCHO,SAN CARLOS,399,394,0.9874686716791979
2020.0,4183.0,C.T.P. SAN CARLOS,SAN CARLOS,646,630,0.9752321981424149
2020.0,4045.0,LICEO DE SAN CARLOS,SAN CARLOS,1024,1024,1.0
2020.0,0.0,COLEGIO AGROPECUARIO DE SAN CARLOS,SAN CARLOS,377,375,0.9946949602122016
2020.0,4176.0,C.T.P. NATANIEL ARIAS MURILLO,SAN CARLOS,1668,1580,0.947242206235012
2020.0,4178.0,C.T.P. DE VENECIA,SAN CARLOS,933,917,0.9828510182207931
2020.0,4180.0,C.T.P. DE PITAL,SAN CARLOS,1062,1019,0.9595103578154426
2020.0,4179.0,C.T.P. LA FORTUNA,SAN CARLOS,937,906,0.9669156883671292
2020.0,4182.0,C.T.P. SANTA ROSA,SAN CARLOS,984,976,0.991869918699187
2020.0,4040.0,LICEO DE ALFARO RUIZ,OCCIDENTE,359,353,0.9832869080779945
