year,CODIGO,NOMBRE,REGION,enrolled,passed
2014,4023,COLEGIO EL CARMEN,ALAJUELA,853,555
2014,4028,COLEGIO REDENTORISTA SAN ALFONSO,ALAJUELA,1009,903
2014,4171,C.T.P. JESUS OCAÑA ROJAS,ALAJUELA,940,918
2014,4022,COLEGIO GREGORIO JOSE RAMIREZ CASTR,ALAJUELA,1148,1015
2014,4018,INSTITUTO DE ALAJUELA,ALAJUELA,1583,1315
2014,4024,LICEO SAN JOSE,ALAJUELA,848,615
2014,,INSTITUTO CENTROAMERICANO ADVENTIST,ALAJUELA,262,253
2014,4025,LICEO OTILIO ULATE BLANCO,ALAJUELA,745,551
2014,,SAINT PAUL COLLEGE,ALAJUELA,306,300
2014,4027,LICEO SAN RAFAEL,ALAJUELA,1237,838
2014,4029,LICEO DE TURRUCARES,ALAJUELA,553,445
2014,4037,LICEO PATRIARCA SAN JOSÉ,OCCIDENTE,467,462
2014,4033,INSTITUTO JULIO ACOSTA GARCÍA,OCCIDENTE,1550,1253
2014,4174,C.T.P. PIEDADES SUR,OCCIDENTE,739,664
2014,4026,COLEGIO MARIA INMACULADA,ALAJUELA,336,336
2014,4020,LICEO LEON CORTES CASTRO,ALAJUELA,1052,788
2014,4173,C.T.P. SAN MATEO,ALAJUELA,375,292
2014,4019,LICEO DE ATENAS MARTHA MIRAMBELL UM,ALAJUELA,1336,1003
2014,4035,COLEGIO DE NARANJO,OCCIDENTE,1259,960
2014,4034,EXPERIMENTAL BILINGÜE DE PALMARES,OCCIDENTE,1539,1431
2014,4021,LICEO DE POAS,ALAJUELA,1175,914
2014,4172,C.T.P. RICARDO CASTRO BEER,ALAJUELA,1497,997
2014,4046,COLEGIO MARIA INMACULADA,SAN CARLOS,463,440
2014,4183,C.T.P. SAN CARLOS,SAN CARLOS,621,591
2014,4045,LICEO DE SAN CARLOS,SAN CARLOS,1118,805
2014,,COLEGIO AGROPECUARIO DE SAN CARLOS,SAN CARLOS,303,279
2014,4176,C.T.P. NATANIEL ARIAS MURILLO,SAN CARLOS,1293,1237
2014,4178,C.T.P. DE VENECIA,SAN CARLOS,852,690
2014,4180,C.T.P. DE PITAL,SAN CARLOS,767,647
2014,4179,C.T.P. LA FORTUNA,SAN CARLOS,1026,794
2014,4182,C.T.P. SANTA ROSA,SAN CARLOS,745,618
2014,4040,LICEO DE ALFARO RUIZ,OCCIDENTE,620,535
2014,4175,C.T.P. FRANCISCO JOSE ORLICH BOLMAR,OCCIDENTE,1001,785
2014,4232,C.T.P. UPALA,ZONA NORTE-NORTE,874,657
2014,4177,C.T.P. LOS CHILES,SAN CARLOS,561,392
2014,4181,C.T.P. DE GUATUSO,ZONA NORTE-NORTE,666,492
2014,4055,COLEGIO SAGRADO CORAZON DE JESUS,CARTAGO,780,745
2014,4056,UNIDAD PEDAGOGICA RAFAEL HERNANDEZ,CARTAGO,302,230
2014,4050,LICEO VICENTE LACHNER SANDOVAL,CARTAGO,1536,786
2014,4051,COLEGIO SAN LUIS GONZAGA,CARTAGO,2469,1862
2014,4054,COLEGIO SERAFICO SAN FRANCISCO,CARTAGO,749,660
2014,4184,C.T.P. COVAO DIURNO,CARTAGO,650,528
2014,4161,C.T.P. SAN JUAN SUR,DESAMPARADOS,798,662
2014,4052,LICEO DE PARAISO,CARTAGO,1309,1071
2014,5082,C.T.P. MARIO QUIROS SASSO,CARTAGO,1275,1022
2014,4070,LICEO HERNAN VARGAS RAMIREZ,TURRIALBA,519,456
2014,4069,COLEGIO DR. CLODOMIRO PICADO TWIGHT,TURRIALBA,1315,1168
2014,4189,C.T.P. LA SUIZA,TURRIALBA,807,751
2014,4185,C.T.P. DE PACAYAS,CARTAGO,778,614
2014,4067,LICEO BRAULIO CARRILLO COLINA,CARTAGO,887,568
2014,4053,COLEGIO ELIAS LEIVA QUIROS,CARTAGO,1340,947
2014,,COLEGIO MARÍA AUXILIADORA,HEREDIA,209,204
2014,4085,LICEO ING. MANUEL BENAVIDES RODRIGU,HEREDIA,1382,886
2014,4078,LICEO DE HEREDIA,HEREDIA,1412,1057
2014,4191,C.T.P. DE HEREDIA,HEREDIA,784,756
2014,4089,COLEGIO CLARETIANO,HEREDIA,940,909
2014,,COLEGIO BILINGÜE SANTA CECILIA,HEREDIA,208,200
2014,4077,LICEO ING. SAMUEL SÁENZ FLORES,HEREDIA,1425,1093
2014,4192,C.T.P. DE ULLOA,HEREDIA,1073,1033
2014,4083,CONSERVATORIO CASTELLA,HEREDIA,424,370
2014,5077,COLEGIO RODRIGO HERNÁNDEZ VARGAS,HEREDIA,1131,668
2014,4081,COLEGIO SANTA MARÍA DE GUADALUPE,HEREDIA,1400,1331
2014,4084,LICEO DE SANTA BÁRBARA,HEREDIA,1199,730
2014,4088,UNIDAD PEDAGOGICA LICEO EL ROBLE,HEREDIA,534,412
2014,4080,LICEO ING. CARLOS PASCUA ZUÑIGA,HEREDIA,1191,942
2014,4086,LICEO DE SAN ISIDRO,HEREDIA,1022,810
2014,4087,EXPERIMENTAL BILINGÜE DE BELÉN,HEREDIA,1074,912
2014,4079,LICEO REGIONAL DE FLORES,HEREDIA,1427,1106
2014,4082,LICEO MARIO VINDAS SALAZAR,HEREDIA,974,682
2014,4193,C.T.P. PUERTO VIEJO,SARAPIQUI,869,742
2014,,SANTA ANA,LIBERIA,412,395
2014,4194,C.T.P. LIBERIA,LIBERIA,967,800
2014,4102,INSTITUTO DE GUANACASTE,LIBERIA,1235,608
2014,4103,LICEO LABORATORIO DE LIBERIA,LIBERIA,749,402
2014,4198,C.T.P. DE NICOYA,NICOYA,692,615
2014,4105,LICEO DE NICOYA,NICOYA,890,861
2014,4199,C.T.P. LA MANSION,NICOYA,644,626
2014,4200,C.T.P. DE CORRALILLO,NICOYA,353,281
2014,4108,"LICEO SANTA CRUZ, CLIMACO A. PÉREZ",SANTA CRUZ,1341,1276
2014,4203,C.T.P. DE SANTA CRUZ,SANTA CRUZ,326,234
2014,4202,C.T.P. 27 DE ABRIL,SANTA CRUZ,508,445
2014,4205,C.T.P. DE CARTAGENA,SANTA CRUZ,459,391
2014,4204,C.T.P. SANTA BÁRBARA,SANTA CRUZ,244,203
2014,4101,COLEGIO DE BAGACES,LIBERIA,606,440
2014,4195,C.T.P. FORTUNA DE BAGACES,LIBERIA,387,330
2014,4201,C.T.P. CARRILLO,SANTA CRUZ,691,537
2014,4206,C.T.P. SARDINAL,SANTA CRUZ,557,523
2014,4111,LICEO MIGUEL ARAYA VENEGAS,CAÑAS,932,657
2014,4110,LICEO MAURILIO ALVARADO VARGAS,CAÑAS,914,781
2014,4196,C.T.P. NANDAYURE,NICOYA,500,359
2014,4100,EXPERIMENTAL BILINGÜE DE LA CRUZ,LIBERIA,316,286
2014,4197,C.T.P. HOJANCHA,NICOYA,487,388
2014,,COLEGIO MONSERRAT,PUNTARENAS,49,45
2014,4116,LICEO DIURNO JOSE MARTI,PUNTARENAS,871,778
2014,4119,LICEO CHACARITA,PUNTARENAS,858,651
2014,4209,C.T.P. DE PUNTARENAS,PUNTARENAS,1071,742
2014,4208,C.T.P. DE JICARAL,PENINSULAR,631,562
2014,4210,C.T.P. DE PAQUERA,PENINSULAR,404,392
2014,4212,C.T.P. DE SANTA ELENA,PUNTARENAS,370,328
2014,4211,C.T.P. DE COBANO,PENINSULAR,467,409
2014,4117,LICEO DE ESPARZA,PUNTARENAS,1064,978
2014,4170,C.T.P. DE BUENOS AIRES,GRANDE DE TERRABA,718,655
2014,4118,LICEO DE MIRAMAR,PUNTARENAS,762,535
2014,,COMPLEJO SAN BENEDICTO,SAN JOSE CENTRAL,131,127
2014,4213,C.T.P. DE OSA,GRANDE DE TERRABA,419,336
2014,5748,C.T.P. DE QUEPOS,AGUIRRE,816,735
2014,4231,C.T.P. DE MATAPALO,AGUIRRE,416,408
2014,4214,C.T.P. CARLOS MANUEL VICENTE CASTRO,COTO,704,633
2014,4220,C.T.P. DE PUERTO JIMENEZ,COTO,349,245
2014,4217,C.T.P. GUAYCARA,COTO,788,640
2014,4215,C.T.P. UMBERTO MELLONI CAMPANINI,COTO,847,699
2014,4216,C.T.P. DE SABALITO,COTO,777,741
2014,4230,C.T.P. DE PARRITA,AGUIRRE,1086,994
2014,4125,LICEO CIUDAD NEILY,COTO,1018,830
2014,4218,C.T.P. DE CORREDORES,COTO,499,401
2014,,CIENTIFICO DE COSTA RICA DE PEREZ Z,PEREZ ZELEDON,34,30
2014,4221,C.T.P. DE LIMÓN,LIMON,1438,765
2014,4224,C.T.P. VALLE ESTRELLA,LIMON,614,543
2014,4134,LICEO NUEVO DE LIMÓN,LIMON,1004,715
2014,4133,COLEGIO DE LIMON,LIMON,1480,1063
2014,4227,C.T.P. DE POCOCÍ,GUAPILES,1807,1497
2014,4226,C.T.P. PADRE ROBERTO EVANS,LIMON,1438,1103
2014,4223,C.T.P. DE TALAMANCA,SULA,746,602
2014,4222,C.T.P. DE BATAÁN,LIMON,1160,872
2014,4228,C.T.P. GUÁCIMO,GUAPILES,639,580
2014,,LABORATORIO DEL C.U.P.,PUNTARENAS,117,110
2014,4092,LICEO LOS LAGOS,HEREDIA,686,481
2014,4090,LICEO SANTO DOMINGO,HEREDIA,615,364
2014,,SEK DE COSTA RICA,SAN JOSE CENTRAL,269,269
2014,,WEST COLLEGE,SAN JOSE OESTE,112,94
2014,,ACADEMIA TEOCALI,LIBERIA,109,104
2014,4000,UNIDAD PEDAGÓGICA DR. RAFAEL ÁNGEL,PEREZ ZELEDON,531,456
2014,,EL ESPÍRITU SANTO,SANTA CRUZ,103,103
2014,,CARIBBEAN SCHOOL,LIMON,109,108
2014,,CIENTIFICO DE COSTA RICA DE SAN PED,SAN JOSE NORTE,46,46
2014,4120,LICEO ANTONIO OBANDO CHAN,PUNTARENAS,1037,655
2014,,ACADÉMICA DE COSTA RICA,HEREDIA,102,96
2014,,COLEGIO CRISTIANO ASAMBLEAS DE DIOS,SAN JOSE NORTE,107,92
2014,,BILINGÜE SANTA FE,ALAJUELA,69,45
2014,,SAN MARCOS,LIMON,107,92
2014,,CIENTIFICO DE COSTA RICA DE CARTAGO,CARTAGO,48,48
2014,,INSTITUTO DE DESARROLLO DE INTELIGE,SAN JOSE CENTRAL,83,83
2014,,SAINT JOHN,ALAJUELA,327,315
2014,4229,C.T.P. DE JACO,AGUIRRE,650,596
2014,3975,UNIDAD PEDAGOGICA JOSE RAFAEL ARAYA,SAN JOSE NORTE,652,510
2014,4141,LICEO DE CARIARI,GUAPILES,1554,1332
2014,,BANDECO,LIMON,34,30
2014,,COLEGIO BILINGÜE SAN RAMON,OCCIDENTE,85,84
2014,4036,COLEGIO VALLE AZUL,OCCIDENTE,456,401
2014,,CIENTIFICO DE COSTA RICA DE SAN RAM,OCCIDENTE,28,28
2014,,ILPPAL,SAN JOSE OESTE,91,89
2014,,COLEGIO LAS AMERICAS,SAN JOSE NORTE,355,343
2014,,OASIS DE ESPERANZA,SAN JOSE NORTE,69,69
2014,,COLEGIO MONT BERKELEY INTERNACIONAL,SAN JOSE NORTE,82,79
2014,4010,LICEO SAN PEDRO,PEREZ ZELEDON,518,383
2014,4093,COLEGIO LA AURORA,HEREDIA,686,356
2014,4001,UNIDAD PEDAGÓGICA JOSÉ BREINDERHOFF,PEREZ ZELEDON,154,126
2014,4003,LICEO EL CARMEN,GRANDE DE TERRABA,272,199
2014,4002,LICEO POTRERO GRANDE,GRANDE DE TERRABA,173,146
2014,4030,EXPERIMENTAL BILINGÜE DE GRECIA,ALAJUELA,445,445
2014,,CENTRO EDUCATIVO MARÍA INMACULADA,LIMON,242,240
2014,4132,LICEO MARYLAND,LIMON,353,262
2014,4135,COLEGIO SULÁYÖM,SULA,235,207
2014,,COLEGIO BILINGÜE SAN FRANCISCO DE A,GUAPILES,238,238
2014,4066,EXPERIMENTAL BILINGÜE DE CARTAGO,CARTAGO,709,676
2014,4058,LICEO DE COT,CARTAGO,679,491
2014,,SAN AGUSTÍN,OCCIDENTE,150,148
2014,4151,LICEO SAN JOSE,ZONA NORTE-NORTE,300,212
2014,,BILINGÜE DEL VALLE,SAN JOSE OESTE,30,28
2014,3971,UNIDAD PEDAGOGICA CUATRO REINAS,SAN JOSE OESTE,235,156
2014,4158,C.T.P. DOS CERCAS,DESAMPARADOS,966,841
2014,3990,LICEO DE FRAILES,DESAMPARADOS,299,220
2014,,INNOVACION EDUCATIVA,SAN JOSE NORTE,62,60
2014,,SAN LORENZO,SAN JOSE NORTE,90,60
2014,,SAINT GREGORY,SAN JOSE NORTE,138,137
2014,,CIENTIFICO DE COSTA RICA DE GUANACA,LIBERIA,30,30
2014,4113,LICEO DE COLORADO,CAÑAS,322,281
2014,,SISTEMA EDUCATIVO SANTA FE,ALAJUELA,146,143
2014,4857,C.T.P. COVAO NOCTURNO,CARTAGO,537,533
2014,,SAGRADA REINA DE LOS ANGELES,SAN JOSE CENTRAL,199,175
2014,,VALLE AZUL,SAN JOSE OESTE,290,288
2014,,COLEGIO ISAAC MARTIN,SAN JOSE NORTE,205,204
2014,4095,LICEO LA VIRGEN,SARAPIQUI,508,350
2014,4076,COLEGIO SAN JOSÉ DE LA MONTAÑA,HEREDIA,431,330
2014,4123,LICEO COMTE,COTO,403,333
2014,4071,LICEO TUCURRIQUE,TURRIALBA,364,300
2014,4060,COLEGIO SAN FRANCISCO,CARTAGO,1000,375
2014,4121,LICEO DE CHOMES,PUNTARENAS,382,305
2014,,COLEGIO SANTA TERESA,ALAJUELA,111,106
2014,4065,COLEGIO ALEJANDRO QUESADA R.,CARTAGO,689,523
2014,,SAN MIGUEL ARCANGEL,DESAMPARADOS,426,421
2014,4122,LICEO DE CHIRA,PUNTARENAS,190,154
2014,,PANAMERICANO,SAN JOSE OESTE,182,181
2014,3973,EXPERIMENTAL BILINGÜE LA TRINIDAD,SAN JOSE NORTE,615,476
2014,,INTERNACIONAL CANADIENSE,SAN JOSE CENTRAL,105,105
2014,,BILINGÜE INTERNACIONAL,SAN JOSE OESTE,59,58
2014,,CRISTIANA LIBERTAD,SAN JOSE NORTE,29,22
2014,4825,NOCTURNO BRAULIO CARRILLO,SAN JOSE NORTE,292,282
2014,4824,NOCTURNO DE HATILLO,SAN JOSE CENTRAL,329,319
2014,4837,NOCTURNO DESAMPARADOS,DESAMPARADOS,645,319
2014,4888,NOCTURNO LA CUESTA,COTO,406,366
2014,4822,NOCTURNO JOSE JOAQUIN JIMENEZ NUÑEZ,SAN JOSE NORTE,718,513
2014,4823,NOCTURNO LEON XIII,SAN JOSE NORTE,99,72
2014,4838,NOCTURNO DE PURISCAL,PURISCAL,442,275
2014,4839,NOCTURNO DE CIUDAD COLON,PURISCAL,189,166
2014,4840,NOCTURNO DE PÉREZ ZELEDON,PEREZ ZELEDON,1179,591
2014,4848,NOCTURNO DE PALMARES,OCCIDENTE,669,545
2014,4842,NOCTURNO MIGUEL OBREGON LIZANO,ALAJUELA,769,584
2014,4843,NOCTURNO DE GRECIA,ALAJUELA,673,426
2014,4849,NOCTURNO JULIÁN VOLIO LLORENTE,OCCIDENTE,731,700
2014,4850,NOCTURNO DE NARANJO,OCCIDENTE,695,662
2014,4853,NOCTURNO DE CARTAGO,CARTAGO,1306,963
2014,4855,NOCTURNO DE LA UNION,CARTAGO,944,665
2014,4859,NOCTURNO PBRO. ENRIQUE MENZEL,TURRIALBA,548,530
2014,4860,NOCTURNO ALFREDO GONZÁLEZ FLORES,HEREDIA,867,652
2014,4861,NOCTURNO HERMÁN LÓPEZ HERNÁNDEZ,HEREDIA,266,195
2014,4862,NOCTURNO DE RIO FRIO,SARAPIQUI,770,509
2014,4869,NOCTURNO DE LIBERIA,LIBERIA,551,386
2014,4871,NOCTURNO DE NICOYA,NICOYA,486,359
2014,4872,NOCTURNO DE SANTA CRUZ,SANTA CRUZ,292,292
2014,4875,NOCTURNO JUAN SANTAMARIA,CAÑAS,491,385
2014,,NOCTURNO CALASANZ,SAN JOSE NORTE,95,73
2014,4877,NOCTURNO JOSE MARTI,PUNTARENAS,250,187
2014,4878,NOCTURNO DE ESPARZA,PUNTARENAS,212,123
2014,4131,LICEO DE MATINA,LIMON,325,243
2014,4124,LICEO PACIFICO SUR,GRANDE DE TERRABA,554,506
2014,3972,LICEO MARIA AUXILIADORA,SAN JOSE OESTE,573,486
2014,4882,NOCTURNO DE GOLFITO,COTO,205,205
2014,4129,LICEO SIXAOLA,LIMON,156,124
2014,4881,NOCTURNO DE CIUDAD NEILY,COTO,577,473
2014,4889,NOCTURNO DE LIMÓN,LIMON,755,667
2014,4128,LICEO RÍO BANANO,LIMON,253,146
2014,4225,COLEGIO DEPORTIVO DE LIMÓN,LIMON,300,212
2014,4893,NOCTURNO DE POCOCÍ,GUAPILES,1072,998
2014,,DEL VALLE,PEREZ ZELEDON,67,65
2014,4883,NOCTURNO DE SAN VITO,COTO,444,435
2014,4127,EXPERIMENTAL BILINGÜE DE AGUA BUENA,COTO,470,430
2014,4096,COLEGIO FELIPE PÉREZ PEREZ,LIBERIA,570,406
2014,,COLEGIO ENRIQUE MALAVASSI VARGAS,SAN JOSE NORTE,199,190
2014,4142,EXPERIMENTAL BILINGÜE DE POCOCÍ,GUAPILES,697,641
2014,,CIENTIFICO DE COSTA RICA DE SAN CAR,SAN CARLOS,32,32
2014,4150,LICEO BIJAGUA,ZONA NORTE-NORTE,366,296
2014,,COLEGIO ANGLOAMERICANO,SAN JOSE NORTE,384,365
2014,4007,COLEGIO LA ASUNCIÓN,PEREZ ZELEDON,452,443
2014,4894,NOCTURNO DE GUÁCIMO,GUAPILES,212,144
2014,4008,LICEO FERNANDO VOLIO JIMÉNEZ,PEREZ ZELEDON,891,695
2014,4107,EXPERIMENTAL BILINGÜE DE SANTA CRUZ,SANTA CRUZ,357,287
2014,,CRISTIANO PALABRA DE VIDA,ALAJUELA,124,123
2014,,VILASECA,HEREDIA,138,131
2014,,SANTA INÉS,HEREDIA,330,315
2014,,SAINT GEORGE HIGH SCHOOL,SAN JOSE CENTRAL,304,176
2014,,MIRAVALLE,CARTAGO,465,458
2014,,ADVENTISTA DE LIMÓN,LIMON,274,261
2014,3993,LICEO DE SABANILLAS,DESAMPARADOS,192,153
2014,4114,EXPERIMENTAL BILINGÜE DE NUEVO AREN,CAÑAS,199,185
2014,,JORGE DEBRAVO,TURRIALBA,139,103
2014,4072,LICEO SANTA TERESITA,TURRIALBA,361,290
2014,,GREEN VALLEY,GUAPILES,81,77
2014,4145,LICEO LA RITA,GUAPILES,553,511
2014,4138,LICEO DE TICABÁN,GUAPILES,400,346
2014,4099,COLEGIO SANTA CECILIA,LIBERIA,405,352
2014,4042,LICEO DE FLORENCIA,SAN CARLOS,601,576
2014,4041,LICEO SUCRE,SAN CARLOS,296,224
2014,,BILINGÜE SAN GERARDO,ALAJUELA,238,234
2014,,EAST SIDE HIGH SCHOOL,ALAJUELA,136,131
2014,4012,LICEO CARRILLOS DE POAS,ALAJUELA,507,283
2014,3998,COLEGIO DE TABARCIA,PURISCAL,327,282
2014,4104,COLEGIO BOCAS DE NOSARA,NICOYA,253,226
2014,,CENTRO EDUCATIVO NUESTRA SEÑORA DE,HEREDIA,158,152
2014,4148,LICEO AGUAS CLARAS,ZONA NORTE-NORTE,186,177
2014,4149,LICEO KATIRA,ZONA NORTE-NORTE,278,240
2014,4147,LICEO BRASILIA,ZONA NORTE-NORTE,135,88
2014,3979,LICEO TEODORO PICADO,SAN JOSE CENTRAL,848,501
2014,3977,LICEO SAN ANTONIO,SAN JOSE NORTE,757,468
2014,,BILINGÜE LA SABANA,SAN JOSE OESTE,79,79
2014,,INTEGRAL SAN JORGE,SAN JOSE NORTE,68,63
2014,,INSTITUTO PROFESIONAL FEMENINO LA P,SAN JOSE NORTE,13,13
2014,,CAMPESTRE,SAN JOSE NORTE,125,121
2014,,BILINGÜE JORGE VOLIO JIMENEZ,CARTAGO,310,295
2014,4061,LICEO DE CORRALILLO,CARTAGO,381,317
2014,4064,COLEGIO FRANCISCA CARRASCO JIMENEZ,CARTAGO,769,315
2014,4062,LICEO OROSI,CARTAGO,107,49
2014,,FORMATIVO NUEVO MILENIO,ALAJUELA,89,88
2014,4004,LICEO BORUCA,GRANDE DE TERRABA,178,145
2014,,SAINT PETERS HIGH SCHOOL,SAN JOSE CENTRAL,80,74
2014,,SAINT VALENTINE,SAN JOSE CENTRAL,82,52
2014,,SANTA MARGARITA,HEREDIA,155,131
2014,,COLEGIO VICTORIA SCHOOL,SAN JOSE NORTE,111,111
2014,4144,COLEGIO DE JIMÉNEZ,GUAPILES,610,515
2014,4143,LICEO DUACARÍ,GUAPILES,256,224
2014,,ATLANTIC COLLEGE,LIMON,44,44
2014,4059,LICEO SAN DIEGO,CARTAGO,490,314
2014,4047,LICEO CHACHAGUA,OCCIDENTE,441,378
2014,4043,LICEO PAVON,SAN CARLOS,465,401
2014,,SANTA SOFÍA COLEGIO BILINGÜE,PUNTARENAS,135,134
2014,4015,COLEGIO AMBIENTALISTA EL ROBLE,ALAJUELA,964,758
2014,4013,COLEGIO TUETAL NORTE,ALAJUELA,491,384
2014,4014,LICEO SAN ROQUE,ALAJUELA,560,528
2014,4112,COLEGIO SAN RAFAEL,CAÑAS,192,183
2014,6475,NOCTURNO DE BAGACES,LIBERIA,324,294
2014,5079,LICEO VILLARREAL,SANTA CRUZ,576,447
2014,,COLEGIO HUMANISTA BILINGÜE DEL MONT,HEREDIA,85,83
