AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,31,0,ESCUELA DARIO SALAS DIAZ,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.988235294,,,,,
2020,32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.992031873,,,,,
2020,32,9,LICEO AGRICOLA JOSE ABELARDO NUNEZ M.,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,710,7,0.954887218,,,,,
2020,33,7,ESCUELA CARLOS CONDELL DE LA HAZA,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.963414634,,,,,
2020,35,3,ESCUELA GRAL. MANUEL BAQUEDANO,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.94047619,,,,,
2020,36,1,ESCUELA IGNACIO CARRERA PINTO,15,AYP,151,15101,ARICA,151,ARICA,6,5,0,1,110,2,0.960159363,,,,,
2020,38,8,ESCUELA ESPAÑA,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.993055556,,,,,
2020,39,6,ESCUELA PAMPA ALGODONAL,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.942028986,,,,,
2020,41,8,ESCUELA VALLE DE CHACA,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.976744186,,,,,
2020,42,6,ESCUELA MOLINOS LLUTA,15,AYP,151,15101,ARICA,151,ARICA,6,5,1,1,110,2,0.95,,,,,
2020,45,0,COLEGIO ITALIANO SANTA ANA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.98951049,,,,,
2020,45,0,COLEGIO ITALIANO SANTA ANA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,0.989619377,,,,,
2020,50,7,COLEGIO ADVENTISTA DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.997229917,,,,,
2020,50,7,COLEGIO ADVENTISTA DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,1,,,,,
2020,52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.943626206,,,,,
2020,52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,0.946314103,,,,,
2020,52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,410,7,0.947945205,,,,,
2020,52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,510,7,0.911111111,,,,,
2020,52,3,LICEO BICENTENARIO DOMINGO SANTA MARIA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,810,7,0.945652174,,,,,
2020,56,6,COLEGIO SAN MARCOS DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.966257669,,,,,
2020,56,6,COLEGIO SAN MARCOS DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,0.953703704,,,,,
2020,59,0,COLEGIO SAN JORGE,15,AYP,151,15101,ARICA,151,ARICA,4,3,0,1,110,2,0.977272727,,,,,
2020,59,0,COLEGIO SAN JORGE,15,AYP,151,15101,ARICA,151,ARICA,4,3,0,1,310,5,0.944827586,,,,,
2020,60,4,COLEGIO ALEMAN DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.973214286,,,,,
2020,60,4,COLEGIO ALEMAN DE ARICA,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,0.979411765,,,,,
2020,67,1,ABRAHAM LINCOLN SCHOOL,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,110,2,0.965277778,,,,,
2020,67,1,ABRAHAM LINCOLN SCHOOL,15,AYP,151,15101,ARICA,151,ARICA,3,2,0,1,310,5,0.975,,,,,
2020,69,8,JUNIOR COLLEGE,15,AYP,151,15101,ARICA,151,ARICA,4,3,0,1,110,2,0.961389961,,,,,
2020,69,8,JUNIOR COLLEGE,15,AYP,151,15101,ARICA,151,ARICA,4,3,0,1,310,5,0.972527473,,,,,
2020,70,1,ESCUELA VALLE DE ESQUINA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,72,8,LICEO VALLE DE CODPA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,0.843137255,,,,,
2020,72,8,LICEO VALLE DE CODPA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,710,7,0.814814815,,,,,
2020,73,6,ESCUELA VALLE DE COBIJA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,74,4,ESCUELA VALLE DE CAMARONES,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,75,2,ESCUELA VALLE DE GUANACAGUA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,1,,,,,
2020,76,0,ESCUELA VALLE DE CUYA,15,AYP,151,15102,CAMARONES,151,ARICA,6,5,1,1,110,2,0.8,,,,,
2020,78,7,LICEO GRANADEROS,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,0.954198473,,,,,
2020,78,7,LICEO GRANADEROS,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,710,7,0.939393939,,,,,
2020,79,5,ESCUELA EL MARQUEZ,15,AYP,152,15201,PUTRE,151,ARICA,6,5,1,1,110,2,1,,,,,
