school_id,latitude,longitude
5,-18.47668,-70.313228
8,-18.482278,-70.317401
9,-18.4745,-70.309419
10,-18.4745,-70.309419
11,-17.596903,-69.472046
12,-18.49198,-70.293731
13,-18.481242,-70.284555
15,-18.472361,-70.300523
16,-18.474856,-70.308933
19,-20.254648,-70.105953
20,-20.213265,-70.145276
22,-20.226146,-70.141512
25,-18.492096,-70.28004
26,-18.4745,-70.309419
27,-20.213265,-70.145276
28,-20.213265,-70.145276
29,-20.213265,-70.145276
31,-20.213265,-70.145276
32,-19.996938,-69.773026
35,-19.311876,-69.424561
36,-18.497182,-70.283933
38,-20.213265,-70.145276
39,-20.213265,-70.145276
41,-20.213265,-70.145276
42,-20.213265,-70.145276
45,-18.483071,-70.314505
50,-20.225053,-70.148588
52,-20.217149,-70.147052
56,-18.492096,-70.28004
59,-20.288324,-70.104405
60,-18.492096,-70.28004
67,-18.481384,-70.314976
69,-18.463654,-70.291361
70,-30.607775,-71.201201
72,-30.598669,-71.206028
73,-30.607775,-71.201201
74,-30.607775,-71.201201
75,-30.607775,-71.201201
76,-30.607775,-71.201201
78,-18.195817,-69.5621
79,-17.697491,-69.688343
81,-17.697491,-69.688343
82,-17.697491,-69.688343
83,-17.697491,-69.688343
84,-17.697491,-69.688343
86,-17.697491,-69.688343
87,-36.778002,-73.095375
88,-36.778002,-73.095375
89,-36.778002,-73.095375
91,-36.778002,-73.095375
92,-36.778002,-73.095375
93,-36.778002,-73.095375
94,-36.778002,-73.095375
95,-36.778002,-73.095375
106,-20.293984,-70.12575
110,-20.217149,-70.147052
111,-20.226146,-70.141512
112,-20.214609,-70.13586
113,-20.213265,-70.145276
114,-20.220252,-70.144062
116,-20.227416,-70.134776
117,-20.220138,-70.146206
119,-20.213265,-70.145276
122,-20.235954,-70.140887
123,-20.24,-70.128706
125,-20.245183,-70.138212
126,-20.243779,-70.131298
127,-19.996938,-69.773026
129,-19.996938,-69.773026
130,-20.255266,-70.132424
131,-20.288324,-70.104405
132,-20.289458,-70.126869
133,-20.225053,-70.148588
134,-20.215537,-70.154373
144,-20.288324,-70.104405
154,-19.467184,-68.644829
156,-19.597975,-70.212519
158,-19.5367,-69.20609
159,-19.554735,-69.245981
160,-19.865351,-69.434042
161,-19.996938,-69.773026
162,-19.78063,-69.1701
165,-20.213265,-70.145276
167,-19.311876,-69.424561
168,-20.213265,-70.145276
169,-19.34584,-69.50764
170,-20.213265,-70.145276
171,-19.30649,-69.39302
173,-19.35467,-69.52063
174,-18.4745,-70.309419
175,-20.213265,-70.145276
177,-19.467184,-68.644829
178,-19.276713,-68.638911
179,-19.467184,-68.644829
186,-19.467184,-68.644829
187,-20.487674,-69.32419
192,-19.467184,-68.644829
193,-20.251663,-69.787123
195,-20.431401,-69.559331
196,-20.927669,-69.0554
198,-20.431401,-69.559331
203,-23.657351,-70.395742
205,-22.089082,-70.194978
206,-22.108374,-70.210348
208,-23.694338,-70.416633
210,-22.345807,-69.667137
214,-23.663201,-70.401924
223,-23.657351,-70.395742
224,-23.657351,-70.395742
225,-22.4437,-68.907353
227,-23.619792,-70.377596
228,-23.619792,-70.377596
229,-22.4437,-68.907353
230,-23.619792,-70.377596
231,-23.619792,-70.377596
232,-22.442028,-68.932774
239,-22.450688,-68.932162
240,-22.474829,-68.932811
243,-23.619792,-70.377596
246,-23.625702,-70.388073
248,-23.619792,-70.377596
252,-23.619792,-70.377596
253,-22.459838,-68.930384
254,-23.664065,-70.401244
255,-22.459838,-68.930384
256,-22.469876,-68.927558
257,-23.694338,-70.416633
269,-22.912585,-68.196655
270,-23.100887,-70.466887
271,-23.619792,-70.377596
273,-23.619792,-70.377596
274,-23.619792,-70.377596
275,-23.619792,-70.377596
276,-23.619792,-70.377596
277,-23.619792,-70.377596
284,-23.654049,-70.398463
285,-22.469914,-68.929053
287,-22.912532,-68.190942
288,-23.625907,-70.379254
289,-23.619792,-70.377596
291,-23.618789,-70.382208
292,-23.627749,-70.385472
293,-23.657351,-70.395742
294,-23.652431,-70.39993
297,-23.660956,-70.397068
298,-23.661354,-70.397227
302,-23.583849,-70.379815
303,-22.4437,-68.907353
304,-22.469914,-68.929053
305,-23.657351,-70.395742
306,-23.685853,-70.411465
310,-23.657351,-70.395742
312,-23.657351,-70.395742
313,-22.345807,-69.667137
315,-23.625702,-70.388073
317,-23.588868,-70.393678
318,-23.43432,-70.433524
319,-23.59992,-70.378025
320,-23.190256,-68.006693
322,-23.623134,-70.385444
324,-23.618535,-70.372406
326,-23.657351,-70.395742
329,-23.693628,-70.409589
332,-22.093641,-70.197014
335,-23.665445,-70.400915
336,-23.655409,-70.400644
337,-23.694338,-70.416633
341,-23.633007,-70.395312
342,-23.665445,-70.400915
343,-23.657351,-70.395742
344,-23.694338,-70.416633
350,-23.694338,-70.416633
356,-23.657359,-70.396493
357,-23.652684,-70.397565
361,-23.677071,-70.409927
364,-23.391472,-69.093228
365,-23.694338,-70.416633
370,-23.335238,-69.844959
371,-22.890858,-69.320003
372,-23.667272,-70.402222
373,-25.407034,-70.484528
375,-23.657351,-70.395742
377,-25.010068,-70.465489
380,-26.341498,-70.614797
381,-28.973553,-70.154088
382,-28.973553,-70.154088
387,-28.973553,-70.154088
392,-26.249896,-69.626301
400,-28.571776,-70.7665
401,-29.101511,-71.409538
403,-27.373142,-70.305954
405,-29.101511,-71.409538
406,-27.356495,-70.321824
407,-27.375576,-70.337857
408,-29.101511,-71.409538
410,-28.584056,-70.75899
411,-27.076012,-70.810636
413,-27.076012,-70.810636
416,-27.357972,-70.348064
417,-27.371429,-70.328065
418,-29.101511,-71.409538
419,-27.414672,-70.272007
420,-27.406026,-70.270153
421,-27.379853,-70.323084
423,-29.101511,-71.409538
427,-28.568725,-70.760717
429,-27.366333,-70.336326
430,-27.361468,-70.333123
431,-28.571776,-70.7665
433,-27.369597,-70.327309
434,-29.101511,-71.409538
439,-27.90161,-70.9595
440,-27.067041,-70.809745
441,-26.753067,-69.904794
442,-27.479786,-70.265882
444,-27.492104,-70.263815
445,-29.101511,-71.409538
446,-27.979384,-70.001827
447,-29.101511,-71.409538
450,-28.562781,-70.777032
452,-28.576322,-70.762187
453,-27.08446,-69.9322
454,-28.588757,-70.752203
455,-28.584268,-70.747926
458,-29.101511,-71.409538
459,-28.973553,-70.154088
461,-28.568725,-70.760717
462,-29.101511,-71.409538
464,-28.579706,-70.75931
467,-27.414672,-70.272007
468,-28.973553,-70.154088
469,-28.973553,-70.154088
476,-28.973553,-70.154088
478,-28.571776,-70.7665
479,-28.571776,-70.7665
484,-26.753067,-69.904794
485,-28.973553,-70.154088
487,-28.973553,-70.154088
489,-26.243409,-69.622709
490,-29.101511,-71.409538
495,-29.101511,-71.409538
496,-29.21667,-69.96667
497,-28.584268,-70.747926
498,-27.965712,-70.841775
500,-28.874565,-70.282176
504,-28.576322,-70.762187
506,-28.584268,-70.747926
508,-26.753067,-69.904794
514,-26.42478,-70.320636
516,-30.093056,-70.494248
517,-29.902487,-71.243489
519,-29.878933,-71.240698
521,-29.931941,-71.250342
522,-29.906246,-71.255404
523,-29.96469,-71.348213
525,-29.907102,-71.245902
526,-29.999483,-71.336198
527,-29.906804,-71.255526
528,-30.607775,-71.201201
530,-29.915757,-71.24943
531,-29.879069,-71.271219
533,-29.879899,-71.252403
534,-30.781513,-70.937604
535,-29.899277,-71.252652
536,-29.915757,-71.24943
539,-29.939619,-71.146394
540,-29.89735,-71.185715
542,-29.96469,-71.348213
543,-29.942314,-71.121194
546,-29.915757,-71.24943
548,-29.96469,-71.348213
550,-29.96469,-71.348213
551,-30.797246,-71.257611
554,-29.96469,-71.348213
556,-29.96469,-71.348213
557,-29.96469,-71.348213
560,-29.915757,-71.24943
561,-29.891438,-71.143723
562,-30.367501,-71.67062
563,-29.986449,-71.360818
564,-29.986449,-71.360818
565,-29.935848,-71.274632
566,-29.915757,-71.24943
567,-29.915757,-71.24943
568,-29.915757,-71.24943
570,-29.915757,-71.24943
573,-29.924775,-71.25537
574,-30.645341,-71.342601
575,-29.915757,-71.24943
578,-29.902165,-71.245988
579,-29.904585,-71.242576
580,-29.915757,-71.24943
581,-30.601516,-71.191471
582,-29.915757,-71.24943
583,-29.904653,-71.246824
585,-29.94881,-71.235183
587,-29.915757,-71.24943
589,-29.915757,-71.24943
590,-29.899277,-71.252652
591,-29.918105,-71.258795
597,-37.027845,-73.141191
599,-36.566133,-71.679162
602,-36.637162,-72.952084
604,-36.821256,-73.013185
606,-36.825667,-73.144466
608,-36.821256,-73.013185
612,-29.971509,-71.325695
613,-29.959572,-71.250612
614,-30.607775,-71.201201
615,-29.956517,-71.343259
616,-29.967472,-71.339089
617,-29.915757,-71.24943
618,-30.607775,-71.201201
620,-29.957125,-71.262
621,-29.967816,-71.327643
625,-30.607775,-71.201201
626,-29.971509,-71.325695
628,-29.96469,-71.348213
629,-29.915757,-71.24943
630,-29.986449,-71.360818
631,-30.645341,-71.342601
632,-29.971509,-71.325695
634,-29.96469,-71.348213
635,-29.96469,-71.348213
637,-29.973868,-71.299355
638,-29.96469,-71.348213
639,-30.797246,-71.257611
642,-29.96469,-71.348213
643,-29.96469,-71.348213
644,-30.292868,-71.609036
646,-29.915757,-71.24943
647,-29.915757,-71.24943
648,-29.915757,-71.24943
649,-30.125438,-70.495565
650,-29.956517,-71.343259
655,-29.901999,-71.246657
658,-30.607775,-71.201201
659,-29.951453,-71.34984
662,-30.170171,-71.109481
664,-30.233097,-71.084779
666,-29.973868,-71.299355
669,-30.607775,-71.201201
671,-30.260503,-71.490832
673,-29.942774,-71.263436
674,-30.49575,-71.43493
676,-29.875545,-71.232266
678,-30.607775,-71.201201
680,-30.607775,-71.201201
681,-29.956662,-71.253977
682,-29.977577,-70.951998
683,-30.644132,-71.238672
687,-29.96469,-71.348213
688,-29.96469,-71.348213
689,-30.14431,-70.60795
692,-29.973868,-71.299355
693,-31.39975,-71.458124
694,-30.09377,-70.49506
695,-29.971509,-71.325695
696,-30.762781,-70.687219
699,-30.607775,-71.201201
704,-30.60198,-71.203669
706,-30.606391,-71.201389
708,-30.599591,-71.200002
709,-30.590196,-71.198036
710,-30.602574,-71.210493
711,-30.596038,-71.18972
712,-30.605659,-71.209224
713,-30.580544,-71.409736
714,-29.971509,-71.325695
715,-29.971509,-71.325695
724,-29.971509,-71.325695
725,-29.956662,-71.253977
726,-30.630418,-71.12366
727,-30.980113,-71.638214
728,-29.956662,-71.253977
729,-29.971509,-71.325695
731,-30.607775,-71.201201
733,-29.951453,-71.34984
735,-30.980113,-71.638214
736,-29.971509,-71.325695
737,-29.971509,-71.325695
740,-29.511033,-71.202624
743,-30.66918,-71.07676
744,-30.607775,-71.201201
745,-30.980113,-71.638214
746,-30.607775,-71.201201
747,-30.580544,-71.409736
749,-30.705397,-71.026206
750,-30.607775,-71.201201
752,-30.607775,-71.201201
754,-30.980113,-71.638214
755,-31.72272,-71.27512
756,-30.607775,-71.201201
758,-30.607775,-71.201201
759,-29.971509,-71.325695
760,-30.607775,-71.201201
762,-30.367501,-71.67062
763,-29.915757,-71.24943
766,-29.915757,-71.24943
767,-30.125438,-70.495565
768,-29.986449,-71.360818
769,-29.899277,-71.252652
770,-29.915757,-71.24943
771,-32.140281,-71.52945
774,-39.827908,-73.24999
780,-40.25989,-73.14037
783,-30.607775,-71.201201
784,-40.25989,-73.14037
786,-40.25989,-73.14037
787,-40.25989,-73.14037
788,-40.25989,-73.14037
790,-40.25989,-73.14037
792,-40.25989,-73.14037
793,-40.25989,-73.14037
795,-29.903478,-71.253701
797,-40.323641,-72.377431
798,-30.770701,-70.944464
799,-30.693727,-70.957811
800,-30.840094,-70.981617
804,-29.971509,-71.325695
805,-30.82872,-70.65058
806,-30.607775,-71.201201
807,-30.607775,-71.201201
809,-29.96469,-71.348213
810,-31.913286,-71.514131
812,-30.607775,-71.201201
816,-30.607775,-71.201201
817,-30.607775,-71.201201
818,-31.913286,-71.514131
819,-30.607775,-71.201201
820,-30.607775,-71.201201
821,-29.96469,-71.348213
822,-30.711719,-70.879827
823,-29.971509,-71.325695
824,-29.96469,-71.348213
825,-29.971509,-71.325695
826,-29.924115,-71.248837
827,-29.915757,-71.24943
833,-30.607775,-71.201201
835,-30.607775,-71.201201
836,-29.96469,-71.348213
837,-30.607775,-71.201201
839,-30.607775,-71.201201
843,-30.689184,-71.280508
844,-30.705748,-70.830479
847,-29.971509,-71.325695
849,-29.971509,-71.325695
850,-30.599182,-71.204266
851,-29.971509,-71.325695
852,-29.971509,-71.325695
857,-30.689184,-71.280508
862,-30.607775,-71.201201
865,-29.971509,-71.325695
868,-30.607775,-71.201201
869,-29.971509,-71.325695
872,-29.971509,-71.325695
875,-29.971509,-71.325695
876,-29.971509,-71.325695
879,-29.971509,-71.325695
886,-30.980113,-71.638214
887,-29.971509,-71.325695
